year,range,type,nhd_num,count,rate,total_pop
2017,partial,violent,67,70,60.091885132604844,1164.8827432444648
2017,partial,violent,68,104,32.39087360887399,3210.780951937881
2017,partial,violent,69,113,35.052320652850504,3223.752319257946
2017,partial,violent,70,55,16.591095571002285,3315.0312325443015
2017,partial,violent,71,93,26.70846951068162,3482.0415285423283
2017,partial,violent,72,91,24.638762140181946,3693.3673648966846
2017,partial,violent,73,62,16.00478743478907,3873.8408899597553
2017,partial,violent,74,167,29.634580318374642,5635.308420293478
2017,partial,violent,75,9,13.41445442806415,670.9180793198159
2017,partial,violent,76,113,32.087314314187566,3521.6409479940958
2017,partial,violent,77,44,12.535662672848499,3509.9859615161304
2017,partial,violent,78,111,45.611126919877606,2433.6166960967043
2017,partial,violent,79,30,10.59674113904584,2831.0590592289664
2018,full,homicide,1,4,0.4739308091438996,8440.050578744882
2018,full,homicide,2,3,0.7673240762856421,3909.6909542080202
2018,full,homicide,4,1,0.10732410007904669,9317.571722133955
2018,full,homicide,5,3,0.25320559041830937,11848.07963775143
2018,full,homicide,8,2,0.2453929026438765,8150.194966732496
2018,full,homicide,14,2,0.2647990895472227,7552.896059498467
2018,full,homicide,15,5,0.34904233580475796,14324.90986651208
2018,full,homicide,16,4,0.23760444319373095,16834.702020864977
2018,full,homicide,17,5,1.377370091513733,3630.1064113458337
2018,full,homicide,19,9,1.7252210348106232,5216.722853711279
2018,full,homicide,21,2,0.9536925166096066,2097.1119780933527
2018,full,homicide,22,1,0.29457869121598707,3394.6786709931894
2018,full,homicide,25,2,0.31896829696871687,6270.2156264644445
2018,full,homicide,27,1,0.17113506353701824,5843.337883727667
2018,full,homicide,30,1,0.20765136261047243,4815.764208953798
2018,full,homicide,31,1,0.2901715876786476,3446.2367869987897
2018,full,homicide,33,2,1.919300544358136,1042.0462839335316
2018,full,homicide,35,4,0.7159459074812119,5587.01426770146
2018,full,homicide,36,2,0.3173322879067833,6302.5417715688045
2018,full,homicide,37,2,0.38394471316869927,5209.083316954625
2018,full,homicide,38,1,0.05934704153182978,16850.03960077213
2018,full,homicide,39,1,0.4728311967097283,2114.9196731490233
2018,full,homicide,48,2,0.2704180155951439,7395.956943173113
2018,full,homicide,50,12,2.3198035911894057,5172.851721402579
2018,full,homicide,51,4,1.682977028870163,2376.7406990012987
2018,full,homicide,52,1,0.41071118835725834,2434.800970481834
2018,full,homicide,53,5,3.70266487248412,1350.3787602158811
2018,full,homicide,54,1,0.69353680158194,1441.884551359099
2018,full,homicide,55,5,1.5642310357698292,3196.4587619496197
2018,full,homicide,56,10,2.100841772735489,4759.996745009064
2018,full,homicide,57,6,4.081290735811116,1470.12315181402
