cs_year,complaint,date_occur,crime,description,ileads_address,ileads_street,neighborhood,region,gw_source,gw_address,gw_score,x,y
2017,17-046668,09/22/2017 03:20,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1100,S 6TH ST,34,Downtown,NA,NA,NA,-90.19464643154083,38.616323618381784
2017,17-046669,09/22/2017 03:29,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4315,MINNESOTA AVE,17,Southeast,NA,NA,NA,-90.23832856427283,38.577840556405725
2017,17-046669,09/22/2017 03:29,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4315,MINNESOTA AVE,17,Southeast,NA,NA,NA,-90.23832856427283,38.577840556405725
2017,17-046669,09/22/2017 03:29,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4315,MINNESOTA AVE,17,Southeast,NA,NA,NA,-90.23832856427283,38.577840556405725
2017,17-046765,09/22/2017 04:00,67601,"LARCENY-FROM BUILDING $500 - $24,999",4330,FAIRVIEW AVE,15,South,NA,NA,NA,-90.26354623012251,38.59633897495653
2017,17-046670,09/22/2017 04:15,52212,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,4107,N GRAND BLVD,67,North NonHayden,NA,NA,NA,-90.21431764667052,38.66562125052714
2017,17-046682,09/22/2017 05:00,67701,LARCENY-FROM BUILDING UNDER $500,300,N 4TH ST,35,Downtown,NA,NA,NA,-90.18696271967005,38.62797347719719
2017,17-046672,09/22/2017 05:20,63701,LARCENY-SHOPLIFT UNDER $500,3920,HAMPTON AVE,14,South,NA,NA,NA,-90.2936756984207,38.59452873239738
2017,17-046676,09/22/2017 05:30,64701,LARCENY-FROM MTR VEH UNDER $500,4408,STRODTMAN PL,66,North NonHayden,NA,NA,NA,-90.20810214676628,38.668604428277426
2017,17-046674,09/22/2017 05:50,64601,"LARCENY-FROM MTR VEH $500 - $24,999",1451,N KINGSHIGHWAY BLVD,51,North NonHayden,NA,NA,NA,-90.26197529076798,38.66290240344043
2017,17-046777,09/22/2017 06:00,67601,"LARCENY-FROM BUILDING $500 - $24,999",8,LEWIS PL,54,North NonHayden,NA,NA,NA,-90.251870252717,38.65367712440049
2017,17-046720,09/22/2017 07:00,67701,LARCENY-FROM BUILDING UNDER $500,1200,N JEFFERSON AVE,59,North NonHayden,NA,NA,NA,-90.21281653117146,38.64097580238023
2017,17-046782,09/22/2017 07:00,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,8423,MINNESOTA AVE,2,South,NA,NA,NA,-90.26715582803196,38.54268294877103
2017,17-046760,09/22/2017 07:30,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,2601,N 14TH ST,63,North NonHayden,NA,NA,NA,-90.19719500151209,38.649802956703404
2017,17-046738,09/22/2017 07:30,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,5615,BARTMER AVE,48,North NonHayden,NA,NA,NA,-90.28139807559481,38.66287441224586
2017,17-046741,09/22/2017 07:40,69702,LARCENY-ALL OTHER UNDER $500,8448,CHURCH RD,74,North NonHayden,NA,NA,NA,-90.233025585799,38.714910254920966
2017,17-047223,09/22/2017 08:00,51322,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4015,N EUCLID AVE,69,North Hayden,NA,NA,NA,-90.24726978941467,38.67813601850996
2017,17-047359,09/22/2017 08:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5057,BEACON AVE,72,North Hayden,NA,NA,NA,-90.25073419106705,38.69541512321569
2017,17-046990,09/22/2017 08:30,67701,LARCENY-FROM BUILDING UNDER $500,2340,MARKET ST,36,Downtown,NA,NA,NA,-90.21498071779637,38.62998370211005
2017,17-046820,09/22/2017 08:30,65701,LARCENY-MTR VEH PARTS UNDER $500,3124,GURNEY AVE,15,South,NA,NA,NA,-90.26778352574087,38.604263989525606
